User ID,Text,Followers Count,Friends Count,Statuses Count
1.62E+18,"@majid_sade @KSA_farsi کرونا علاقه دولت به شهروندان شیعه خود را که مخفیانه به ایران می رفتند نشان داد،با نقض ممنوعیت،آنها را پاسخگو نکرد و برای آنها یک هواپیما تهیه کرد تا آنها را از تهران منتقل کند، سپس آنها در طول دوره قرنطینه در هتل ها اقامت کردند، سپس آنها را دریافت کردند،به خانه هایشان رفتند",12,16,192
1.62E+18,"@mohammadaleph یادمه اوایلی که واکسن کرونا اومده بود و خامنه ای ممنوعشون کرده بود یه جوک مشابه این خووندم. 
اگر انقلاب 57 اتفاق نیفتاده بود الان یه دسته از ایرانیها بودن که در حالیکه واکسن فایزرشون رو زده بودن و نشسته بودن تو خونه هاشون داشتن حقوق قرنطینه بودن دریافت می کردن می گفتن 👇",307,985,10402
1.62E+18,"@Sarahkindnurse دو هفته بابت کرونا ملت قرنطینه بودن، ک.و.ن. عالم و آدم رو پاره کردن که ای بابا پوسیدیم، پس آزادی اجتماعی و دموکراسی و . . . ما چی شد. حالا طرف ۱۳ ساله پای حرفش ایستاده اینا میگن عشق و حال!
ایشالله نصیب شما.",317,614,32965
1.62E+18,تصور دنیا از دید نابیناها در دوران کرونا هم عجیبه. چطور میتونستن اون حجم از پنیک عمومی و لزوم زدن ماسک و نزدیک نشدن به همدیگه و قرنطینه رو درک کنن؟,1298,1861,67609
1.62E+18,"@alimusavi_org بردارین ماسک رو
من الآن دو ساله ماسک نمیزنم
جاهای شلوغ هم میرم
کرونا هم نگرفتم
اگه میترسین کرونا بگیرین،هر ده شب یکبار داروی امام کاظم بخورین،بدنتون مقاوم میشه
اگه واکسن هم زدین پاکسازی انجام بدین تا مبتلا نشین به بیماری
ماسک به ریه هاتون آسیب میزنه، مدام دارین co2 استنشاق میکنین",3169,2713,23753
1.62E+18,"آدمهایی که همیشه مخالفیدونیمه خالی لیوان رامیبیندبجای دیدن پرویز دراین عکس پردیس را ببینینم.
یکی ازدانشمندان وپژوهشگران علم ژنتیک عصرحاضرباصدهامقاله علمی وکارتخصصی.
ایران ما این شخصیت هارابرای فردای #کیان_پیرفلک ها نیازدارد نه دکتر بله قربانگوی دیکتاتور را که واکسن را ممنوع کرد. https://t.co/36Zmb4KaaO",445,767,32552
1.62E+18,آقای خامنه ای یادته واکسن ممنوع کردی که واکسن برکت و رازی بسازی یادت هست ؟ من کرونا به قلبم زد و هنوز درگیرم  کرونا رفت و من هنوز قلبم درگیره خواستم بگم در این روز ۲۲ بهمن این کارهات یادمون نرفته ما یادمون بره روزگار یادش نمیره  #۲۲بهمن #مهسا_امینی  #زن_زندگی_آزادی,723,1284,11153
1.62E+18,@ehsanmansuri ببین اولاً واکسن کرونا رو که رهبر ممنوع کرد وارد کشور شود. ثانیا تحریمها هیچ وقت شامل دارو نمیشد.  ثالثا شماها ناکارامدی در کرونا را با تبلیغات گردن تحریم انداختین که همه میدانیم گردن مورد اول بود,10,183,57
1.62E+18,"@Hakunaa_MatataK آقا جدی جدی اون یه اقیانوسی که دوری باعث می‌شه با سرعت اکسپوننشال یادت بره :)) اون موقع بعد آبان 98 بود و نت با بدبختی وصل بود و اتفاقا از هرجا می‌شد اطلاعات می‌گرفتن مردم بعد ممنوع کردن واکسن آمریکایی توسط اون دیوث.
با هر زبونی که می‌شد آدما حرف می‌زدن",1528,222,6677
1.62E+18,@jedaaal نکنه نازنین بنیادی‌ بود که گفت ورود واکسن ممنوع!!؟؟!!,0,3,173
1.62E+18,@jedaaal ارره نازنین بنیادی واردات واکسن و لوازم خانگی کره‌ای و آیفون ۱۴ و خودرو رو ممنوع کرده!,266,815,15960
1.62E+18,"@Over_fitting @ehsanmansuri شما اگر یادتون نیست،  خیلی های دیگه  یادشونه. انی که رهبر میخوانیدش وقتی تازه واکسن داشت به بازار عرضه میشد ورود واکسن امریکایی و اروپایی را ممنوع کرد!! در ثانی مسیولین شما که “تو دور زدن تحریمها دکترا دارند” و همه چی وارد میکنند چطور فقط در وارد کردن واکسن مشکل پیدا کردند؟",151,433,571
1.62E+18,"@borhanimohsen1 سوال:
 کی گفته رهبر و سران قوا در برابر تصمیمات اشتباه شون پاسخگو‌هستند؟؟
بِکش بیرون بابا…
 علی خامنه ای در قضیه کرونا در تیلویزیون میلی گفت:
ورود واکسن امریکایی و انگلیسی به کشور ممنوع است!
 خب بیش از صد هزار نفر در ایران فوت شد!
 آیا رهبرتون پاسخگو بود؟؟؟",1014,59,19841
1.62E+18,@damoonsg بله و دیدیم که در اوج کرونا مسیح  ورود واکسن رو ممنوع کرد و مانع برداشتن تحریما شد:)),4,48,162
1.62E+18,"@Samiii135 @ehsanmansuri در مورد واکسن کاملا اشتباه میگی، من خودم ایران بودم و هستم، کلا حکومت وحشتناک گند زد و واردات واکسن رو برای مدت ها ممنوع کرد، قیمت واکسن کرونا فایزر ٢٠ دلار بود، اگه میخواست ١٠ میلیون دوز وارد کنه، میشه ٢٠٠ میلیون؟ به نظرت حکومت ٢٠٠ ملیون دلار نداشت؟",12,182,22
1.62E+18,"۲) و آقای خامنه‌ای واکسن و واردات واکسن را ممنوع کرد، آقای رضا پهلوی باید از جامعه‌ی جهانی می‌خواست به ایران کمک کنند و واکسن بفرستند، ولی ایشان کاری نکرد؟» ... این‌جا شاهزاده کم‌کاری کرده است و باید پاسخ‌گو باشد برای رفتاری که سه سال پیش انجام نداده است، هر چند ممکن است 👇",175,947,1603
1.62E+18,@ehsanmansuri و اون که گفت ورود واکسن ممنوع چی. اون دشمن نیست اما این دشمن شد!!! خودتی....,279,399,3329
1.62E+18,@Sajjad_Abedii ورود واکسن آمریکایی ممنوع است,16,131,307
1.62E+18,"@alinaghi2018 @RBehrouzDO خیلی بیشرفِ،گفت چرا رضا پهلوی موقعی که خامنه ای واکسن کرونای آمریکاییرو ممنوع کرد هیچ کاری نکرد",26,106,755
1.62E+18,"@ehsanmansuri @h0d3r_fa بی ناموس فراموش نکردیم که با یک علامت دست ورود واکسن امریکایی و انگلیسی به کشور ممنوع شد.
احساس میکنم تو کتاب ۱۹۸۴ جرج اورول هستیم و یک عده تمام تلاشش شون رو میکنن تاریخ و گذشته رو وارونه نشان بدهند و حتی پاک کنند،گویی کارشان اینست و بابتش دستمزد می‌گیرند.
پیشوای بزرگ دوباره رید،",3,70,362
